Id,river,location,erected,purpose,length,lanes,clear-g,t-or-d,material,span,rel-l,type,span_flag,t_or_d_flag,rel_l_flag
E23,M,1.0,1876,HIGHWAY,1245.0,2,G,THROUGH,STEEL,LONG,F,SUSPEN,no flag,no flag,no flag
E22,A,24.0,1876,HIGHWAY,1200.0,4,G,THROUGH,WOOD,SHORT,S,WOOD,no flag,no flag,no flag
E24,O,45.0,1878,RR,1300.0,2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T,flag,no flag,flag
E25,M,10.0,1882,RR,1300.0,2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T,flag,no flag,flag
E27,A,39.0,1883,RR,1300.0,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T,flag,no flag,no flag
E26,M,12.0,1883,RR,1150.0,2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T,no flag,no flag,no flag
E30,A,31.0,1884,RR,1300.0,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T,no flag,no flag,no flag
E29,A,26.0,1884,HIGHWAY,1080.0,2,G,THROUGH,STEEL,MEDIUM,F,SUSPEN,no flag,no flag,flag
E28,M,3.0,1884,HIGHWAY,1000.0,2,G,THROUGH,STEEL,MEDIUM,S,ARCH,no flag,no flag,no flag
E32,A,30.0,1887,HIGHWAY,1300.0,2,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T,no flag,no flag,no flag
E31,M,8.0,1887,RR,1161.0,2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T,no flag,no flag,no flag
E34,O,41.0,1888,RR,4558.0,2,G,THROUGH,STEEL,LONG,F,SIMPLE-T,no flag,no flag,no flag
E33,M,19.0,1889,HIGHWAY,1120.0,2,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T,no flag,no flag,no flag
E36,O,45.0,1890,HIGHWAY,1300.0,2,G,THROUGH,IRON,SHORT,F,SIMPLE-T,no flag,no flag,no flag
E35,A,27.0,1890,HIGHWAY,1000.0,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T,no flag,no flag,no flag
E38,M,17.0,1891,HIGHWAY,1300.0,2,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T,no flag,no flag,no flag
E37,M,18.0,1891,RR,1350.0,2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T,no flag,no flag,no flag
E39,A,25.0,1892,HIGHWAY,1300.0,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T,no flag,no flag,no flag
E4,A,27.0,1892,AQUEDUCT,1092.0,1,N,THROUGH,WOOD,SHORT,S,WOOD,no flag,no flag,no flag
E40,M,22.0,1893,HIGHWAY,1300.0,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T,no flag,no flag,no flag
E41,M,11.0,1894,HIGHWAY,1300.0,2,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T,no flag,no flag,no flag
E42,M,9.0,1895,HIGHWAY,2367.0,2,G,THROUGH,STEEL,LONG,F,SIMPLE-T,no flag,no flag,no flag
E44,O,48.0,1896,HIGHWAY,1300.0,2,G,THROUGH,STEEL,LONG,F,SUSPEN,no flag,no flag,no flag
E43,M,7.0,1896,HIGHWAY,1040.0,2,G,THROUGH,STEEL,LONG,F,ARCH,no flag,no flag,no flag
E46,A,37.0,1897,RR,4000.0,2,G,DECK,STEEL,LONG,F,SIMPLE-T,no flag,no flag,no flag
E45,M,14.0,1897,RR,2264.0,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T,flag,no flag,no flag
E47,M,15.0,1898,RR,2000.0,2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T,no flag,no flag,no flag
E58,A,33.0,1900,HIGHWAY,1200.0,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T,no flag,no flag,no flag
E48,A,38.0,1900,HIGHWAY,2000.0,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T,no flag,no flag,no flag
E94,M,13.0,1901,RR,1300.0,2,G,THROUGH,STEEL,LONG,F,SIMPLE-T,no flag,no flag,no flag
E49,A,34.0,1902,HIGHWAY,1850.0,2,G,THROUGH,STEEL,MEDIUM,F,CANTILEV,no flag,no flag,no flag
E95,M,16.0,1903,RR,1300.0,2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T,no flag,no flag,no flag
E87,A,35.0,1903,RR,3000.0,2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T,no flag,no flag,no flag
E51,M,6.0,1903,RR,1417.0,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T,no flag,no flag,no flag
E50,M,21.0,1903,RR,1154.0,2,G,THROUGH,STEEL,LONG,F,SIMPLE-T,no flag,no flag,no flag
E89,M,4.0,1904,RR,1200.0,2,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T,no flag,no flag,no flag
E53,A,28.0,1904,RR,965.0,4,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T,no flag,no flag,no flag
E52,M,2.0,1904,RR,1504.0,2,G,THROUGH,STEEL,LONG,F,CANTILEV,no flag,no flag,no flag
E54,Y,27.0,1908,HIGHWAY,1240.0,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T,no flag,no flag,no flag
E56,M,23.0,1909,HIGHWAY,1300.0,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T,no flag,no flag,no flag
E55,A,36.0,1909,HIGHWAY,1730.0,2,G,THROUGH,STEEL,LONG,F,SIMPLE-T,no flag,no flag,no flag
E57,O,49.0,1910,RR,1620.0,2,G,THROUGH,STEEL,LONG,F,CANTILEV,no flag,no flag,no flag
E59,O,43.0,1911,HIGHWAY,1652.0,2,G,THROUGH,STEEL,LONG,F,CANTILEV,no flag,no flag,no flag
E107,A,39.0,1914,RR,1300.0,2,G,THROUGH,STEEL,MEDIUM,F,NIL,flag,no flag,no flag
E92,M,10.0,1914,RR,2210.0,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T,no flag,no flag,no flag
E61,O,41.0,1915,RR,2822.0,2,G,THROUGH,STEEL,LONG,F,SIMPLE-T,no flag,no flag,no flag
E60,A,24.0,1915,HIGHWAY,1000.0,4,G,THROUGH,STEEL,LONG,F,SIMPLE-T,no flag,no flag,no flag
E62,A,37.0,1918,RR,2300.0,2,N,DECK,STEEL,LONG,F,CONT-T,no flag,no flag,no flag
E63,A,31.0,1920,RR,2122.0,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T,no flag,no flag,no flag
E65,A,30.0,1921,WALK,1300.0,2,G,THROUGH,STEEL,MEDIUM,F,SUSPEN,flag,no flag,no flag
E64,A,29.0,1923,HIGHWAY,885.0,4,G,THROUGH,STEEL,MEDIUM,F,ARCH,no flag,no flag,no flag
E66,A,32.0,1924,HIGHWAY,2365.0,4,G,THROUGH,STEEL,MEDIUM,S,ARCH,no flag,no flag,no flag
E70,A,27.0,1926,HIGHWAY,860.0,4,G,THROUGH,STEEL,MEDIUM,S-F,SUSPEN,no flag,no flag,no flag
E69,A,26.0,1926,HIGHWAY,884.0,4,G,THROUGH,STEEL,MEDIUM,S-F,SUSPEN,no flag,no flag,no flag
E101,O,46.0,1927,HIGHWAY,1770.0,2,G,THROUGH,STEEL,LONG,S-F,CANTILEV,no flag,no flag,no flag
E73,A,38.0,1927,HIGHWAY,1508.0,2,G,THROUGH,STEEL,MEDIUM,S,ARCH,no flag,no flag,no flag
E72,M,5.0,1927,HIGHWAY,2663.0,4,N,DECK,STEEL,MEDIUM,S-F,CANTILEV,no flag,no flag,no flag
E67,M,1.0,1927,HIGHWAY,1330.0,4,G,THROUGH,STEEL,LONG,F,CANTILEV,no flag,no flag,no flag
E75,A,30.0,1928,HIGHWAY,2678.0,4,G,DECK,STEEL,MEDIUM,F,ARCH,no flag,no flag,no flag
E74,M,20.0,1928,HIGHWAY,2220.0,2,G,DECK,STEEL,MEDIUM,S-F,CANTILEV,no flag,no flag,no flag
E71,A,25.0,1928,HIGHWAY,860.0,4,G,THROUGH,STEEL,MEDIUM,S-F,SUSPEN,no flag,no flag,no flag
E68,M,17.0,1928,HIGHWAY,2250.0,2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T,no flag,no flag,no flag
E78,O,40.0,1931,HIGHWAY,1365.0,4,G,THROUGH,STEEL,LONG,F,ARCH,no flag,no flag,no flag
E77,O,42.0,1931,HIGHWAY,1450.0,4,N,THROUGH,STEEL,LONG,F,ARCH,no flag,no flag,no flag
E76,M,6.0,1931,HIGHWAY,1500.0,4,G,THROUGH,STEEL,LONG,F,SUSPEN,no flag,no flag,no flag
E93,M,11.0,1937,HIGHWAY,1690.0,4,N,DECK,STEEL,LONG,S-F,CONT-T,no flag,no flag,no flag
E79,A,34.0,1939,HIGHWAY,1800.0,4,G,DECK,STEEL,MEDIUM,F,CANTILEV,no flag,no flag,no flag
E108,A,39.5,1945,HIGHWAY,1060.0,4,G,DECK,STEEL,MEDIUM,S-F,CONT-T,no flag,no flag,no flag
E107N,A,39.7,1945,RR,840.0,2,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T,no flag,no flag,no flag
E105,A,38.5,1945,HIGHWAY,1710.0,2,N,DECK,STEEL,MEDIUM,S-F,CONT-T,no flag,no flag,no flag
E103,O,48.0,1945,HIGHWAY,2160.0,2,G,THROUGH,STEEL,LONG,F,CANTILEV,no flag,no flag,no flag
E97,Y,52.0,1945,HIGHWAY,1300.0,2,G,THROUGH,STEEL,MEDIUM,S,ARCH,no flag,no flag,no flag
E96,Y,51.0,1945,RR,1300.0,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T,no flag,no flag,no flag
E99,M,23.0,1950,HIGHWAY,1320.0,2,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T,no flag,no flag,no flag
E98,M,22.0,1951,HIGHWAY,900.0,4,G,THROUGH,STEEL,MEDIUM,F,CONT-T,no flag,no flag,no flag
E81,M,14.0,1951,HIGHWAY,2423.0,4,G,DECK,STEEL,LONG,F,CONT-T,no flag,no flag,no flag
E80,M,19.0,1951,HIGHWAY,1031.0,4,G,THROUGH,STEEL,LONG,F,CANTILEV,no flag,no flag,no flag
E88,A,37.0,1955,HIGHWAY,2300.0,4,N,DECK,STEEL,LONG,F,CONT-T,no flag,no flag,no flag
E82,O,42.0,1955,HIGHWAY,804.0,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T,flag,no flag,no flag
E102,O,47.0,1959,HIGHWAY,1700.0,2,G,THROUGH,STEEL,LONG,F,CONT-T,no flag,no flag,no flag
E83,M,1.0,1959,HIGHWAY,1000.0,6,G,THROUGH,STEEL,LONG,F,ARCH,no flag,no flag,no flag
E86,A,33.0,1961,HIGHWAY,980.0,4,G,DECK,STEEL,MEDIUM,S-F,CONT-T,no flag,no flag,no flag
E85,M,9.0,1962,HIGHWAY,2213.0,4,G,DECK,STEEL,LONG,F,CONT-T,no flag,no flag,no flag
E84,A,24.0,1969,HIGHWAY,870.0,6,G,THROUGH,STEEL,MEDIUM,F,ARCH,no flag,no flag,no flag
E91,O,44.0,1975,HIGHWAY,3756.0,6,G,THROUGH,STEEL,LONG,F,ARCH,no flag,no flag,no flag
E90,M,7.0,1978,HIGHWAY,950.0,6,G,THROUGH,STEEL,LONG,F,ARCH,no flag,no flag,no flag
E100,O,43.0,1982,HIGHWAY,1300.0,6,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T,flag,no flag,no flag
E109,A,28.0,1986,HIGHWAY,1300.0,6,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T,flag,no flag,no flag
